allocation_of,seed,trained_b2a,trained_a2b,trained_family_f1,trained_fine_f1,trained_hsr_balanced,trained_hsr_miss,trained_hsr_fatigue,trained_awbir,recal_b2a,recal_a2b,recal_family_f1,recal_fine_f1,recal_hsr_balanced,recal_hsr_miss,recal_hsr_fatigue,recal_awbir
fisher,307,0.00025,0.05915354144159512,0.6597144497169128,0.5572360842664593,0.17147239823962307,0.1523902351430154,0.1459871076130823,0.028256772122467633,0.00025,0.05817744167093118,0.6683687835031002,0.5598808363082175,0.17101952119208924,0.1518560958833233,0.14563831924179618,0.023771513613472302
fisher,401,0.0,0.06118155455734349,0.5806081150095969,0.5049088489102245,0.18463139825788427,0.16368400869231753,0.1568753309837293,0.08309807181505073,0.00025,0.06101097401489737,0.5950030703868481,0.5101626367299926,0.18355216303573713,0.16275497160387867,0.15609923120468946,0.06140972933557396
fisher,503,0.0,0.06283997649779192,0.5841118526935652,0.5194692997304244,0.18452730958163657,0.16386357687648753,0.1569712021329048,0.07787935708934643,0.0,0.06185440003032543,0.5864720775448946,0.5228068131217368,0.18385347236171729,0.1631437823755349,0.15646445463012,0.07291974916122138
fisher,613,0.0,0.06378764617804818,0.5515046590376508,0.48083820780470105,0.19205091214550501,0.17028542210697395,0.16328317598290754,0.14500709012543878,0.0,0.06308637061465855,0.5596594589725616,0.48644583167381633,0.1910081992659009,0.16930388415112943,0.1624075528204379,0.11902431938374272
fisher,719,0.0,0.0646405488902788,0.685455681248964,0.6110466454383878,0.1813407351947554,0.16149723343255237,0.1534011431493216,0.016177356401099706,0.0,0.06349386857716874,0.6931404850633006,0.5761114679353099,0.1723105860009861,0.1537879756274234,0.1467759902120122,0.02861094962695763
fisher,823,0.0,0.05644320615606224,0.560626125235983,0.5085036848460889,0.18282536841913039,0.16141810169037576,0.15534139259692117,0.0842080484481748,0.0,0.057618316559579996,0.587062345237015,0.530514673433167,0.17894852175818557,0.15837609490939417,0.15233195157137377,0.06329237180003583
fisher,907,0.00125,0.05915354144159512,0.6319660230699893,0.5450942912821206,0.18271945362575553,0.16175365071249004,0.15577235623892915,0.05313221383329754,0.00075,0.05998749076022062,0.6085659793273988,0.5220292787586193,0.18438487244571866,0.16327998027793503,0.15703876846660944,0.055570107352097706
fisher,1013,0.0,0.05886924053751824,0.5888392427921018,0.5078240171999927,0.18458209309545115,0.1632716105744356,0.1569565931958876,0.07109019731066049,0.0,0.060139117909061617,0.6001284656989634,0.5203009028827694,0.18426617483245375,0.16321226176780312,0.1566635013969796,0.06498807578356314
fisher,1109,0.00025,0.06332328803472262,0.590854583846974,0.5061150851606091,0.18780518982487537,0.16667047107734823,0.1596610726612005,0.07358792336875274,0.00025,0.06508595363999924,0.6007450825746522,0.5149721617169845,0.1878234509961469,0.16696873687478317,0.15967659465678127,0.06414488298519112
fisher,1201,0.0005,0.055846174257500804,0.6244724185820321,0.5368238822018268,0.1771278829824145,0.15656976071778578,0.151131279560271,0.053041410174548345,0.0005,0.055249142358939365,0.6160091599695635,0.5298010978971576,0.17585325322766204,0.15541169810631653,0.14999726082430925,0.05234837120772779
fisher,1303,0.0,0.06139951858380243,0.5587034084726834,0.49520464395417524,0.19319953981848398,0.17085912723775434,0.164096711163054,0.10450713008200878,0.00025,0.059011390989556683,0.5700153763624206,0.5041302695621237,0.18734135607457864,0.1655915402080556,0.15935976333522034,0.09435699473587468
fisher,1409,0.0005,0.06139951858380243,0.569740991691228,0.5321944278417061,0.19360859005496614,0.17119543714200494,0.16369587845364403,0.049851860716834485,0.0,0.05996853736661549,0.6030847047593826,0.5348982666213338,0.1788006062708862,0.15863022954292288,0.15224429794927047,0.06669542498048014
fisher,1511,0.00025,0.05935255207444893,0.6476146195440955,0.5487770605443015,0.17816329139350998,0.15799793648764632,0.1517923339603002,0.03176884937759279,0.00025,0.058698659995072115,0.649029015888673,0.5591599223394838,0.17627873851828857,0.15632247402348387,0.15006300104088677,0.02759172132521387
fisher,1607,0.00025,0.064744792555107,0.5649775665523565,0.4951090863346816,0.18907251511111922,0.16795484012344553,0.16042073738609594,0.111382440875314,0.00025,0.06476374594871212,0.5691149642261379,0.502126031596304,0.18827998027793502,0.1672974379576706,0.1597761180402111,0.0952846982422816
fisher,1709,0.0,0.06537025454407612,0.6109751853415788,0.5335754190906967,0.18566680666897975,0.16521946884339828,0.1578532167053195,0.07810040919201823,0.00025,0.06537025454407612,0.6168458194971993,0.5375199912449482,0.1854695860192473,0.1650528356555456,0.1576715180511678,0.06843998560023865
fisher,1801,0.0,0.05644320615606224,0.6834881705357803,0.5792936944151303,0.17211519146838078,0.15249295423141773,0.14681616478880954,0.03493360910909968,0.0,0.05503117833248043,0.669749792495343,0.5612217062404763,0.17252789393911724,0.15261013008041002,0.14716221398440496,0.030189906851991716
fisher,1907,0.0,0.062157654328007426,0.5889518305705165,0.5014060444321975,0.18662369204360768,0.1655009952338343,0.15885027665674475,0.07368843193597506,0.0,0.06163643600386649,0.6068988773392654,0.5129139109599378,0.1838991252898961,0.16314682590408017,0.1566406749328902,0.050088818459920456
fisher,2003,0.0,0.06200602717916643,0.6902281188281717,0.5606752599655204,0.17678822519676413,0.15728042463310263,0.15073227296798816,0.028858680606056956,0.0,0.06239457174807149,0.6750819666889618,0.5423026070464365,0.17766841365205163,0.1580763073476866,0.15136410949398293,0.029120812701008445
saber_v2,101,0.0,0.06237561835446637,0.5774954981260116,0.5072458367694489,0.18587498402147512,0.1649120724603276,0.15791256551195193,0.0625954631644388,0.0,0.06248933871609712,0.5856330052722372,0.5112340890269329,0.1842771315352167,0.1635987898930504,0.1565904567118935,0.056045717439959404
saber_v2,211,0.0,0.06136161179659218,0.5933281324838297,0.5100742383519363,0.1852413213783532,0.1642211914805549,0.15753547232519494,0.05721435838604791,0.0,0.06193021360474593,0.5999486891647816,0.5271400727290786,0.18488522853855846,0.16401575330375023,0.1571985537152353,0.05056423399330672
saber_v2,307,0.0,0.057476166107541554,0.5836547509931482,0.5101991548673681,0.18035280582896587,0.159523505170955,0.15354449334380307,0.05184526398410253,0.0,0.05776994370842099,0.6134101275682818,0.5218388650909398,0.1789046949471339,0.15836392079521314,0.15243604024762147,0.02798849355329532
saber_v2,401,0.0,0.058423835787797807,0.6193264345212842,0.5249676405106649,0.18274867149979,0.16167223632390448,0.15544091598035098,0.03708835196710084,0.0,0.05801633782528762,0.6147829865714631,0.5152669464311128,0.17975018717700553,0.1591080635245278,0.15314183451726593,0.040676456103244135
