architecture,normalisation,metric,contrast,mean,ci_lo,ci_hi,half_width,p,p_holm,significant_holm
deep,recal,hsr_balanced,random-saber_v2,0.004347893573893824,0.001792714446075946,0.006903072701711702,0.002555179127817878,0.002083120625602913,0.004166241251205826,True
deep,recal,hsr_balanced,magnitude-taylor,-0.008471813882142387,-0.011518096834969382,-0.005425530929315392,0.003046282952826995,1.3162470069104471e-05,3.948741020731341e-05,True
deep,recal,hsr_balanced,magnitude-fisher,-0.010104545205529489,-0.012710488709373607,-0.00749860170168537,0.0026059435038441187,1.3531759220144757e-07,6.765879610072379e-07,True
deep,recal,hsr_balanced,magnitude-saber_v2,-0.018098920764777853,-0.020022763752880614,-0.016175077776675092,0.0019238429881027626,4.2278233444792904e-14,4.2278233444792904e-13,True
deep,recal,hsr_balanced,taylor-fisher,-0.0016327313233871015,-0.003617376828498997,0.0003519141817247941,0.0019846455051118956,0.1013297491768628,0.1013297491768628,False
deep,recal,hsr_balanced,taylor-saber_v2,-0.009627106882635466,-0.011881730503947894,-0.007372483261323039,0.002254623621312427,3.114396149947941e-08,1.8686376899687644e-07,True
deep,recal,hsr_balanced,fisher-saber_v2,-0.007994375559248364,-0.010198894149598941,-0.005789856968897788,0.002204518590350576,3.627896394149805e-07,1.451158557659922e-06,True
deep,recal,b2a,random-magnitude,-0.0014375,-0.0019394971962225411,-0.0009355028037774588,0.0005019971962225412,9.103939895771919e-06,6.372757927040344e-05,True
deep,recal,b2a,random-taylor,0.00016250000000000002,-4.6371652966458186e-05,0.00037137165296645825,0.0002088716529664582,0.11991918008859129,0.7195150805315478,False
deep,recal,b2a,random-fisher,6.250000000000001e-05,-0.0003033363380105638,0.0004283363380105638,0.0003658363380105638,0.7246025498203301,1.0,False
deep,recal,b2a,random-saber_v2,0.00013749999999999998,-0.00010100555418391345,0.0003760055541839134,0.00023850555418391343,0.24237960522636667,1.0,False
deep,recal,b2a,magnitude-taylor,0.0016000000000000003,0.0011518031348048809,0.00204819686519512,0.0004481968651951194,4.552169267732906e-07,4.319991225545051e-06,True
deep,recal,b2a,magnitude-fisher,0.0015000000000000002,0.0010228378670571157,0.0019771621329428848,0.00047716213294288456,2.6809611396434414e-06,2.144768911714753e-05,True
deep,recal,b2a,magnitude-saber_v2,0.001575,0.001135405938699336,0.002014594061300664,0.00043959406130066395,4.319991225545051e-07,4.319991225545051e-06,True
