arch,seed,dose,class,M0_test_recall,compressed_test_recall,recall_loss,validation_2sd_band,material_and_beyond_band
cnn1d,1,0.2,DDoS-SlowLoris,0.9558907228229937,0.9365395560614684,0.019351166761525262,0.03310488431469255,False
cnn1d,1,0.2,DDoS-HTTP_Flood,0.8298217179902755,0.8578374623755499,-0.028015744385274433,0.06283048765589343,False
cnn1d,1,0.2,DoS-HTTP_Flood,0.8751282290403805,0.8241163853399235,0.05101184370045697,0.03985415067034641,False
cnn1d,1,0.2,Recon-PortScan,0.20121292680900557,0.2516407742793055,-0.05042784747029991,0.07985045010637541,False
cnn1d,1,0.2,Recon-OSScan,0.1805181347150259,0.08918825561312609,0.09132987910189981,0.10326414789120288,False
cnn1d,1,0.2,DDoS-ICMP_Flood,0.997904339250493,0.997965976331361,-6.163708086792674e-05,0.0012315082587516983,False
cnn1d,1,0.2,DDoS-RSTFINFlood,0.9991081514953326,0.9991081514953326,0.0,0.0010455514158798306,False
cnn1d,1,0.2,DDoS-TCP_Flood,0.5966915191053123,0.29933597390493943,0.29735554520037283,0.23415091411258288,True
cnn1d,1,0.2,DDoS-SynonymousIP_Flood,0.7046890395873181,0.8897003419695125,-0.18501130238219443,0.235929254057588,False
cnn1d,1,0.2,DDoS-UDP_Flood,0.6878178200309529,0.7368450143709927,-0.04902719434003977,0.09047640950289787,False
cnn1d,1,0.2,DoS-TCP_Flood,0.5335989661856558,0.8726577643764807,-0.33905879819082485,0.2643813212009498,False
cnn1d,1,0.2,DDoS-PSHACK_Flood,0.9982915717539863,0.9985504245185338,-0.0002588527645475125,0.11038504026051069,False
cnn1d,1,0.2,DDoS-SYN_Flood,0.19389468328669549,0.0829814296616637,0.11091325362503178,0.5238379149660953,False
cnn1d,1,0.2,Recon-HostDiscovery,0.7121817274088866,0.6450324513230155,0.06714927608587118,0.05981364338037638,False
cnn1d,1,0.2,DoS-SYN_Flood,0.19641044569530314,0.19636430746516564,4.613823013749352e-05,0.1338491875766533,False
cnn1d,1,0.2,DoS-UDP_Flood,0.7169625246548323,0.683835395373857,0.03312712928097539,0.013090549202921372,False
cnn1d,1,0.2,DNS_Spoofing,0.5719643335501894,0.5866977918946845,-0.014733458344495132,0.09199911478240713,False
