attacker_seeds,held_out_seed,recipe,strategy,n_types,misattribution_rate,attack_to_benign_rate,cross_family_rate,wrong_family_or_benign_rate,n_flows
"(1, 3, 4)",2,dense,random_over_detectable,19,0.15214495115532323,0.01872551849763072,0.09355556596960947,0.1122810844672402,400823
"(1, 3, 4)",2,dense,blind_spot_set,2,0.07833066980010472,9.325748391308402e-05,0.07040320703147565,0.07049646451538873,40319
"(2, 3, 4)",0,default_layerwise80,random_over_detectable,19,0.3636923951266629,0.0018844536241280278,0.20025919392998742,0.20214364755411546,400823
"(2, 3, 4)",0,default_layerwise80,blind_spot_set,5,0.35414632127404017,0.0061086723489898725,0.3061004172365789,0.3122090895855687,100679
"(2, 3, 4)",1,default_layerwise80,random_over_detectable,19,0.3221429376753909,0.08553373779767816,0.15063649823313605,0.2361702360308142,400823
"(2, 3, 4)",1,default_layerwise80,blind_spot_set,5,0.6955589545962019,0.24642801797854313,0.22522390716467805,0.4716519251432212,100679
"(2, 3, 4)",0,protect_conv0,random_over_detectable,19,0.1962960998581123,0.008724060202487213,0.13564927177810213,0.14437333198058933,400823
"(2, 3, 4)",0,protect_conv0,blind_spot_set,5,0.2653277565182735,0.025478198726004625,0.11690802576446717,0.1423862244904718,100679
"(2, 3, 4)",1,protect_conv0,random_over_detectable,19,0.1408077826701867,0.013016555890553842,0.08325543081216606,0.09627198670271989,400823
"(2, 3, 4)",1,protect_conv0,blind_spot_set,5,0.229001428272729,0.03549179602504317,0.10326639077088033,0.1387581867959235,100679
"(2, 3, 4)",0,global80,random_over_detectable,19,0.1622736860062639,0.008376716625318064,0.11454971757591981,0.12292643420123789,400823
"(2, 3, 4)",0,global80,blind_spot_set,5,0.2646854258128922,0.023636422514900973,0.14629931828990356,0.1699357408048045,100679
"(2, 3, 4)",1,global80,random_over_detectable,19,0.16907917839616876,0.01825386697082234,0.09860878362947918,0.11686265060030153,400823
"(2, 3, 4)",1,global80,blind_spot_set,5,0.23123153726140472,0.049156761693595216,0.10753591920664227,0.1566926809002375,100679
"(2, 3, 4)",0,dense,random_over_detectable,19,0.17615393247818786,0.014490562032329287,0.09758945383403314,0.11208001586636245,400823
"(2, 3, 4)",0,dense,blind_spot_set,5,0.21327264578684552,0.04018142549087638,0.10296833065292574,0.14314975614380213,100679
"(2, 3, 4)",1,dense,random_over_detectable,19,0.15148840307945394,0.015878082813201237,0.0951537883704923,0.11103187118369355,400823
"(2, 3, 4)",1,dense,blind_spot_set,5,0.20323795608843137,0.044688049329662326,0.09578024614177104,0.14046829547143336,100679
